Number,Name,Path,Title,Title Image,Tags,Time,Location,URL
46,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_58e1d777a86c47329a916e4b8f2d7a41.md,[Seminar] Expert Forum on Strengthening International Leadership in Climate Change Response,Web%201de9bb83ec3b80b6a257e12869803932/1203%25ED%258F%25AC%25EB%259F%25BC.png,,2024년 12월 3일,"E11, KAIST",
40,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_559ac964d62f487a9ecf040d1339d511.md,[Seminar] Workshop on AI for Earth Sciences : Innovations and Applications,Web%201de9bb83ec3b80b6a257e12869803932/240923_Workshop_on_AI_for_Earth_Sciences_Innovations_and_ApplicationsFinal.png,,2024년 9월 23일,"E11, KAIST",
41,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_fa144d2c0715487b9f5b2f32dc4e96bd.md,[Broadcast] WWF-Korea Youtube | 메타어스로 들여다본 기후위기 속 지구🌏 (with 김형준 교수),Web%201de9bb83ec3b80b6a257e12869803932/WWF-Korea_%25EC%259C%25A0%25ED%258A%259C%25EB%25B8%258C.png,,2024년 8월 29일,Youtube,https://youtu.be/yBe-y9IMbvc?si=Xxz6OsjzHyluaoWj
39,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_efb6b30c63344b57b89e42cf464b8096.md,[Seminar] Changing water resources : Under the combined pressure of climate change and water usage by Prof. Jan Polcher,Web%201de9bb83ec3b80b6a257e12869803932/Jan_Polcher.png,,2024년 7월 29일,"N5, KAIST",
35,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_ae4c6fdcf2684ae08c28276e939e2a0c.md,[Workshop] International Symposium on Energy and Water Exchanges in Land-Atmosphere Interactions,Web%201de9bb83ec3b80b6a257e12869803932/post_gewex.png,,2024년 7월 15일 → 2024년 7월 16일,Busan,
32,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_7df51778a4274af4a1d1510665fa9546.md,[Conference] ME lab in 2024 GEWEX,Web%201de9bb83ec3b80b6a257e12869803932/gewex.png,,2024년 7월 6일 → 2024년 7월 13일,"Sapporo, Japan",
36,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_6188d0e3b5d74024917bd8c7f628455d.md,[Workshop] 2024 ME lab Workshop,Web%201de9bb83ec3b80b6a257e12869803932/me_workshop.png,,2024년 6월 26일 → 2024년 6월 27일,Pyeongchang,
25,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_3e94e89a84cb440f9d829f7d71f3c3f6.md,[Workshop] 2024 KAIST-GIST-PKNU-JNU Joint WorkShop in Pyeongchang,Web%201de9bb83ec3b80b6a257e12869803932/20240627_181942.jpg,,2024년 6월 26일 → 2024년 6월 28일,Pyeongchang,
33,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_febfc84e734a47ac93b1c97750390dcb.md,[Conference] ME lab in 2024 AOGS,Web%201de9bb83ec3b80b6a257e12869803932/aogs.png,,2024년 6월 23일 → 2024년 6월 28일,Pyeongchang,
34,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_0c854437a73941aeb7dc6c7bdb0e3446.md,[Seminar] International Workshop on Earth System Analysis,Web%201de9bb83ec3b80b6a257e12869803932/seminar.png,,2024년 6월 21일,"N5, KAIST",
44,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_8212a915d1ea494f9056a7e072d9fb03.md,"[Broadcast] KBS News | '메타 지구'와 비교해보니 ""태풍 더 세졌다""",Web%201de9bb83ec3b80b6a257e12869803932/%25ED%2599%2594%25EB%25A9%25B4_%25EC%25BA%25A1%25EC%25B2%2598_2024-11-04_020332.png,,2024년 6월 6일,Online,https://youtu.be/4ItL77pLyzc?si=cLZKfLgzcIDK1TI-
30,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_982403f8a5824d95b5dd9719d3a6f969.md,[Award] 2024 KAIST Research Day 🏅,Web%201de9bb83ec3b80b6a257e12869803932/2024%25EB%2585%2584_KAIST_14%25EB%258C%2580_%25EB%25AF%25B8%25EB%259E%2598%25EC%2584%25A0%25EB%258F%2584%25EA%25B8%25B0%25EC%2588%25A0_%25EB%258C%2580%25ED%2591%259C%25EC%2597%25B0%25EA%25B5%25AC%25EC%2584%25B1%25EA%25B3%25BC.jpg,,2024년 5월 21일,KAIST,
29,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_f13facdbde4c4e6789ec6f9632e94608.md,[Conference] ME lab in 2024 KWRA,Web%201de9bb83ec3b80b6a257e12869803932/%25EC%2597%25B0%25EA%25B5%25AC%25EC%258B%25A4_%25EB%2589%25B4%25EC%258A%25A4.png,,2024년 5월 9일 → 2024년 5월 10일,Jeju,
51,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_1cf9bb83ec3b800aad4fdc5d3c864fc8.md,[ME Lab Life] Meta Earth Farm ! 🌱,Web%201de9bb83ec3b80b6a257e12869803932/20240520_131906.jpg,,2024년 5월 8일,KAIST,
20,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_c257c3d51ce04f5d9206f71e4cdf8ec2.md,"[Seminar] Special lecture : Water, Food, and Sustainable Development by Prof. Taikan Oki",Web%201de9bb83ec3b80b6a257e12869803932/news_-NxRjhrODNld3RiVZQ8f.jpg,,2024년 5월 7일,"Academic Cultural Complex, KAIST",
31,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_b66fe42b89d041f0859b67123fb92e5d.md,[Conference] ME lab in 2024 EGU,Web%201de9bb83ec3b80b6a257e12869803932/egu.png,,2024년 4월 14일 → 2024년 4월 19일,"Vienna, Austria ",
50,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_1cf9bb83ec3b80b0a6f2da49dcc772b9.md,[ME Lab Life] 2024 Spring Cherry Blossom Picnic 🌸,Web%201de9bb83ec3b80b6a257e12869803932/20240405_123004_2024ooo2.jpg,,2024년 4월 5일,KAIST,
12,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_380b5280602548e2ab563ab45b6bcdce.md,[Article] The Relentless Rain: East Asia's Recent Floods and What Lies Beneath,Web%201de9bb83ec3b80b6a257e12869803932/news_-NshQ8-Xp63iSptquIme.jpg,,2023년 11월 24일,KAIST,https://news.kaist.ac.kr/news/html/news/?mode=V&mng_no=33250
16,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_0ebf764f2ddf4669919cc1aaa9c3c1e0.md,[Seminar] 2023 KAIST U-Tokyo joint Workshop on Global Terrestrial Modelling,Web%201de9bb83ec3b80b6a257e12869803932/%25EC%2597%25B0%25EA%25B5%25AC%25EC%258B%25A4_%25EB%2589%25B4%25EC%258A%25A4%201.png,,2023년 11월 3일,"E11, KAIST",
18,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_65ca536d5731447881308b0003b70215.md,[Conference] ME lab in 2023 Autumn KMS meeting,Web%201de9bb83ec3b80b6a257e12869803932/news_-NxRSLr7MPDmqpFgoFqc.jpg,,2023년 11월 1일 → 2023년 11월 3일,Busan,
